,Player,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,4s,6s,Dot%,Format,Country,Balls,Outs,HS,50,100,Dot %
0,Trent Boult,26.0,102.4,717.0,35.0,6.98,20.5,17.6,0.0,4/13,81.0,14.0,51.0,T20I,Newzealand,,,,,,
2,Mark Chapman,3.0,4.0,22.0,1.0,5.5,22.0,24.0,0.0,1/9,1.0,0.0,33.3,T20I,Newzealand,,,,,,
4,Lockie Ferguson,22.0,75.2,625.0,23.0,8.3,27.2,19.7,0.0,4/14,56.0,26.0,49.6,T20I,Newzealand,,,,,,
6,Matt Henry,6.0,24.0,173.0,8.0,7.21,21.6,18.0,0.0,3/32,12.0,9.0,50.7,T20I,Newzealand,,,,,,
8,Glenn Phillips,8.0,14.3,104.0,2.0,7.17,52.0,43.5,0.0,1/11,10.0,2.0,46.0,T20I,Newzealand,,,,,,
10,Rachin Ravindra,13.0,37.0,247.0,11.0,6.68,22.5,20.2,0.0,3/22,15.0,12.0,45.5,T20I,Newzealand,,,,,,
12,Ish Sodhi,51.0,182.4,1456.0,70.0,7.97,20.8,15.7,0.0,4/28,85.0,67.0,36.0,T20I,Newzealand,,,,,,
14,Tim Southee,39.0,147.2,1144.0,57.0,7.76,20.1,15.5,1.0,5/25,105.0,48.0,49.8,T20I,Newzealand,,,,,,
0,Mohammad Nabi,26.0,71.0,556.0,18.0,7.83,30.9,23.7,0.0,2/12,44.0,16.0,33.1,T20I,Afghanistan,,,,,,
2,Azmatullah Omarzai,22.0,52.3,455.0,11.0,8.67,41.4,28.6,0.0,3/22,48.0,13.0,42.2,T20I,Afghanistan,,,,,,
4,Rashid Khan,34.0,129.2,801.0,41.0,6.19,19.5,18.9,0.0,4/9,39.0,26.0,39.8,T20I,Afghanistan,,,,,,
6,Mujeeb ur Rahman,24.0,87.0,556.0,31.0,6.39,17.9,16.8,1.0,5/20,42.0,19.0,48.1,T20I,Afghanistan,,,,,,
8,Noor Ahmad,1.0,4.0,10.0,4.0,2.5,2.5,6.0,0.0,4/10,0.0,0.0,70.8,T20I,Afghanistan,,,,,,
10,Fazalhaq Farooqi,24.0,91.0,594.0,27.0,6.53,22.0,20.2,0.0,3/11,61.0,14.0,51.3,T20I,Afghanistan,,,,,,
0,Rohit Sharma,2.0,2.1,8.0,0.0,3.69,-,-,0.0,0/1,0.0,0.0,38.5,Test,India,,,,,,
2,Shubman Gill,1.0,1.1,1.0,0.0,0.86,-,-,0.0,0/1,0.0,0.0,85.7,Test,India,,,,,,
4,Shreyas Iyer,1.0,1.0,2.0,0.0,2.0,-,-,0.0,0/2,0.0,0.0,66.7,Test,India,,,,,,
6,Ravindra Jadeja,32.0,554.0,1330.0,59.0,2.4,22.5,56.3,3.0,7/42,146.0,8.0,79.8,Test,India,,,,,,
8,Shardul Thakur,17.0,221.0,770.0,30.0,3.48,25.7,44.2,1.0,7/61,98.0,3.0,74.9,Test,India,,,,,,
10,Jasprit Bumrah,26.0,460.1,1243.0,52.0,2.7,23.9,53.1,3.0,5/24,157.0,1.0,82.3,Test,India,,,,,,
